Crop,Vaches_laitieres,Vaches_laitieres,Vaches.allaitantes,Vaches.allaitantes,Brebis.meres.nourrices,Brebis.meres.nourrices,Porcs,Porcs,Poulets.de.chair,Poulets.de.chair,Poules.pondeuses,Poules.pondeuses
Year,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050
Code_Departement,,,,,,,,,,,,
01,47121.0,32726.38888888891,22580.0,9485.700000000004,16875.0,20263.19999999996,86622.0,51984.59999999997,1056842.0,655251.3399999997,438366.0,341936.4000000003
02,43039.0,29892.361111111113,31274.0,7819.7500000000055,22852.0,27442.79999999993,16270.0,9775.20000000001,746341.0,462746.9199999997,23928.0,18681.0
03,10379.0,7214.583333333329,198298.0,83286.41999999988,140236.0,168289.20000000022,51745.0,56938.20000000007,1447043.0,1736466.0000000007,164725.0,164743.0000000002
04,718.0,1458.0000000000023,4498.0,1891.2599999999995,144425.0,144427.99999999948,320.0,336.0,1548.0,1561.0000000000039,99759.0,99776.99999999962
05,4750.0,9515.999999999993,6130.0,2577.1199999999994,177490.0,177490.0,5470.0,5482.000000000004,1628.0,1638.0000000000064,5774.0,5778.000000000028
06,301.0,636.0000000000003,360.0,158.3399999999999,45426.0,45446.00000000009,52.0,67.00000000000009,442.0,459.00000000000074,9072.0,9092.000000000011
07,12766.0,8869.444444444443,13016.0,5467.560000000003,65628.0,78755.99999999993,5602.0,3368.3999999999974,722642.0,448042.99999999977,365865.0,285378.60000000027
08,40405.0,28063.88888888891,45732.0,19209.95999999997,27854.0,33439.2,7478.0,4499.400000000006,608570.0,377328.9000000002,8856.0,6921.719999999996
09,7112.0,4940.9722222222235,32121.0,13491.65999999999,66489.0,79789.1999999998,1307.0,790.2000000000003,34360.0,21306.919999999976,13114.0,10230.479999999996
10,10272.0,7140.972222222224,11391.0,4788.000000000004,13156.0,15804.000000000007,18710.0,11235.599999999997,832203.0,515976.4000000001,3506.0,2744.040000000002
11,1870.0,3768.0000000000086,10369.0,4358.759999999999,43275.0,43281.99999999987,9712.0,9723.999999999975,275149.0,275158.00000000047,9402.0,9408.999999999965
12,53589.0,37218.05555555557,167269.0,70253.81999999993,688318.0,825984.0000000001,127161.0,76305.00000000001,79924.0,49564.040000000045,55136.0,43009.199999999975
