Crop,Ble.tendre,Ble.tendre,Ble.dur,Ble.dur,Triticale,Triticale,Mais.grain,Mais.grain,Mais.ensilage,Mais.ensilage,Orge,Orge,Avoin,Avoin,Sorgho,Sorgho,Seigle,Seigle,Betterave,Betterave,Pomme.de.terre,Pomme.de.terre,Tournesol,Tournesol,Colza,Colza,Soja,Soja
Year,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050
Code_Departement,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,67.5274523809523,61.88963805209503,47.1340476190477,43.19886274720343,51.258,46.97850956049276,88.559619047619,81.16584552854512,115.555238095238,105.90762139806772,60.5864047619047,55.528093084845764,43.8174285714286,542.895700680719,56.9387142857143,42.577661889151294,46.2319523809524,33.69061093596316,510.0,376.79718663,302.39019047619,226.3362925155265,28.2573333333333,25.77321454468797,30.8016666666667,25.818419795041695,26.1157142857143,15.47116271716858
02,82.9580000000001,61.582433665653575,47.4,35.18656857388047,51.3,38.08166598818709,88.0999999999999,65.39950825651616,115.6,122.95688122850812,70.698,105.74617525659238,44.2,124.87808249770356,56.5,46.0750799665,46.6,47.779332901800004,812.864000000001,653.1744846956168,465.263,468.45938844788395,27.999,27.937205451027,37.891,37.92532962491,25.9,21.690815890100023
03,58.5,101.44322848900306,47.4,82.19502616032042,51.3,88.9579080595873,88.1,152.77176803215673,115.6,200.4587557833975,52.76,91.48965359110771,44.2,2419.9667355363626,56.5,42.3816416315,46.6,39.1046482572,776.34,561.90117329586,257.0,220.229922119,24.3,22.147284335400023,27.6,25.8672320904,25.9,17.739570191
04,34.869,28.360099047747514,47.4,38.55197151805994,51.3,41.723969174609174,88.1,71.65461372871478,115.6,94.02126387104914,36.965,30.06484445495962,44.2,522.9840104481448,56.5,41.548995707500005,46.6,31.2621367664,0.0,0.0,264.904,201.11077846719198,14.3,13.8979110985,20.05,15.689059777350002,25.9,14.4724933234
05,38.539,31.34503017583359,47.4,38.55197151805994,51.3,41.723969174609174,88.1,71.65461372871478,115.6,94.02126387104914,37.598,30.57968407459953,44.2,522.9840104481448,56.5,41.548995707500005,46.6,31.2621367664,0.0,0.0,199.305,151.309091982015,15.155,14.728870118725,20.674,16.177337747478,25.9,14.4724933234
06,35.423,28.810685381523996,47.4,38.55197151805994,51.3,41.723969174609174,88.0999999999999,71.65461372871471,115.6,94.02126387104914,36.666,29.821657967957506,44.2,522.9840104481448,56.5,41.548995707500005,46.6,31.2621367664,0.0,0.0,230.314,174.850616947622,0.0,0.0,20.5,16.0411833135,25.9,14.4724933234
07,34.654,31.760764569614818,47.4,43.442610971309,51.3,47.01700301325214,88.1,80.74459971671567,115.6,105.94864616631477,34.929,32.012805034110805,44.2,547.6357411291474,56.5,42.2495998885,46.6,33.9588182796,0.0,0.0,177.231,132.65578289973598,18.2,16.6000272984,16.2,13.579083404999999,25.9,15.343371810199999
08,76.883,75.71013835218312,47.4,46.67690592059988,51.3,50.517410838117584,88.1,86.75602134187446,115.6,113.83650473462754,66.5630000000001,65.54757149352098,44.2,310.9669342232024,56.5,44.539063847499996,46.6,47.2323320362,847.06,689.1942172599199,417.187,405.73587517108643,29.1,28.4629411704,34.99,34.52470766866,25.9,21.2621454045
09,47.5,47.86083566070602,47.4,47.760076006683484,51.3,51.6897025135625,88.1,88.76925519385685,115.6,116.47816005005507,42.61,42.933688579003864,44.2,316.9670074304013,56.5,43.0324508935,46.6,32.894698845,0.0,0.0,230.046,170.799835146402,21.2,20.701544985199998,26.5,22.846833967000002,25.9,14.7775018762
10,78.8119999999999,77.60971116907832,47.4,46.67690592059988,51.3,50.517410838117584,88.1,86.75602134187446,115.6,113.83650473462754,69.24,68.18373345869905,44.2,310.9669342232024,56.5,44.539063847499996,46.6,47.2323320362,861.78,701.17086457896,497.143,483.4972091416545,31.1,30.419157058400003,34.656,34.195149155904,25.9,21.2621454045
11,46.0,34.24858804161236,47.4,35.290936373313606,51.3,38.19462101162422,88.1,65.59349144491411,115.6,86.06819081761715,43.571,32.4401136861107,44.2,440.3605255441924,56.5,41.1062074675,46.6,32.9820022674,0.0,0.0,242.884,185.246565882688,20.9,20.3123316055,29.161,24.626235469506,25.9,13.855871795499999
12,45.9,46.248681196345395,47.4,47.760076006683484,51.3,51.6897025135625,88.1,88.76925519385685,115.6,116.47816005005507,42.96,43.28634736808275,44.2,316.9670074304013,56.5,43.0324508935,46.6,32.894698845,0.0,0.0,289.972,215.29246236436398,21.2,20.701544985199998,28.4,24.4849088552,25.9,14.7775018762
13,35.6,28.954645275167383,47.4,38.55197151805994,51.3,41.723969174609174,88.1,71.65461372871478,115.6,94.02126387104914,30.41,24.733448393759556,44.2,522.9840104481448,56.5,41.548995707500005,46.6,31.2621367664,0.0,0.0,340.556,258.544537914388,21.95,21.33280759525,19.699,15.414403419153002,25.9,14.4724933234
14,79.2930000000001,90.78336619141413,47.4,54.268744497913104,51.3,58.73389436166545,88.1,100.86659051194397,115.6,132.35162160250536,69.004,79.00338492265814,44.2,280.08122615757486,56.5,44.305221365,46.6,44.6920406356,825.540000000001,637.8563514025799,316.435,275.02871954026,22.1,22.054477779100022,34.758,33.157525102902035,25.9,19.2984394169
15,51.6,89.47812974414629,47.4,82.19502616032042,51.3,88.9579080595873,88.1,152.77176803215673,115.6,200.4587557833975,46.28,80.25286520463354,44.2,2419.9667355363626,56.5,42.3816416315,46.6,39.1046482572,0.0,0.0,216.0,185.095965672,0.0,0.0,0.0,0.0,25.9,17.739570191
16,57.464,55.33809831007918,47.4,45.646419669667154,51.3,49.40213774375369,88.1,84.84070828898051,115.6,111.3233357344625,50.953,49.06797513562343,44.2,547.4552593504179,56.5,44.422480334999996,46.6,38.4281824328,0.0,0.0,265.405,222.01569751217497,22.9,22.941709716499997,28.689,26.533486239666,25.9,17.788096793599998
17,64.6,62.21009938102316,47.4,45.646419669667154,51.3,49.40213774375369,88.0999999999999,84.84070828898041,115.6,111.3233357344625,57.925,55.782043446528895,44.2,547.4552593504179,56.5,44.422480334999996,46.6,38.4281824328,0.0,0.0,215.615,180.365534255525,24.3,24.3442596555,30.791,28.477554979454002,25.9,17.788096793599998
18,63.0360000000001,54.20649610124567,47.4,40.76064336568057,51.3,44.11436718690746,88.1,75.75976119233034,115.6,152.189920199772,60.016,51.1544424963123,44.2,290.7194462653875,56.5,45.511580776,46.6,45.7605458758,640.0,511.4116224,401.583,375.21251659327805,23.9,24.0616477934,29.099,28.554161148827998,25.9,19.7579260592
19,50.56,107.54419748820858,47.4,100.82268514519555,51.3,109.11822253055973,88.1,187.394062474509,115.6,245.88823634566677,44.515,94.6861145408941,44.2,3728.413851771736,56.5,42.16650635549995,46.6,36.1498615532,0.0,0.0,302.132,250.124888262056,21.3,20.7010843635,27.211,25.13683363381,25.9,18.284702513
21,65.0,76.1335662774336,47.4,55.51893910077466,51.3,60.086953077420674,88.0999999999999,103.19026444679835,115.6,135.40061941032806,59.032,69.14333360753017,44.2,592.3058904850758,56.5,41.57230777699997,46.6,36.986657380400004,694.916666666668,495.618921014501,389.062,338.15230199495204,28.9,28.7616381577,32.1,29.7758849181,25.9,17.489765390300025
22,72.7959999999999,79.06182322065233,47.4,51.479894783489826,51.3,55.71558232896683,88.1,95.68309557859607,115.6,125.55012314285703,63.925,69.42726316528665,44.2,744.39428792296,56.5,43.242182566,46.6,38.895991491400046,0.0,0.0,268.426,213.17404763366198,21.3333333333333,20.645310698666655,32.27,29.329414708440005,25.9,18.059165805099973
23,52.975,112.68104948453026,47.4,100.82268514519555,51.3,109.11822253055973,88.1,187.394062474509,115.6,245.88823634566677,49.836,106.0042054197461,44.2,3728.413851771736,56.5,42.16650635549995,46.6,36.1498615532,0.0,0.0,284.511,235.53705692983803,23.3,22.6448481535,29.229,27.00101099859,25.9,18.284702513
24,49.8,44.43606912775877,47.4,42.294571820396904,51.3,45.77450494485994,88.1,78.61079699107526,115.6,103.14878697126333,44.622,39.81578868712555,44.2,487.4180170549293,56.5,43.33375844400006,46.6,32.9823959442,0.0,0.0,269.097,204.78098041297497,23.2,22.411931588799998,25.093,22.1206638896,25.9,15.1657199547
25,60.7650000000001,77.43262334507656,47.4,60.40165138742076,51.3,65.37140751423387,88.1,112.26551660826517,115.6,147.3086687845114,51.901,66.1372596763402,44.2,577.2480888224572,56.5,44.532993996,46.6,37.489602559399955,0.0,0.0,270.518,220.95701724725598,26.1,26.124152157,30.9,27.869812172099998,25.9,17.67681801340001
26,53.036,48.608065727306844,47.4,43.442610971309,51.3,47.01700301325214,88.1,80.74459971671567,115.6,105.94864616631477,48.933,44.84762199702665,44.2,547.6357411291474,56.5,42.2495998885,46.6,33.9588182796,0.0,0.0,200.186,149.837390499216,20.9,19.0626687108,23.1,19.362767077500003,25.9,15.343371810199999
27,82.6999999999999,75.26996914261437,47.4,43.141433341716144,51.3,46.69104494578139,88.0999999999999,80.1848159790124,115.6,105.2141285717803,73.9070000000001,67.26696021067973,44.2,215.39395519973488,56.5,44.7481292155,46.6,45.84384514660005,817.400000000001,654.6202396058009,352.719,354.9541450311,28.276,28.440523397032,36.999,35.871542533646966,25.9,20.786482114299982
28,77.3,66.47252599508667,47.4,40.76064336568057,51.3,44.11436718690746,88.1,75.75976119233034,115.6,152.189920199772,74.436,63.44528261889334,44.2,290.7194462653875,56.5,45.511580776,46.6,45.7605458758,881.41,704.3176845306,474.432,443.277789827712,28.4,28.592083570399996,36.894,36.203210468567995,25.9,19.7579260592
29,65.383,71.01075866305727,47.4,51.479894783489826,51.3,55.71558232896683,88.1,95.68309557859607,115.6,125.55012314285703,62.935,68.35205017297325,44.2,744.39428792296,56.5,43.242182566,46.6,38.895991491400046,0.0,0.0,318.146,252.659841291302,20.5,19.838853249500023,33.114,30.096505691207998,25.9,18.059165805099973
2A,0.0,0.0,47.4,211.34371963089907,51.3,228.73275985369455,88.1,392.8139599046879,115.6,515.4289871167074,20.0,89.1745652451051,44.2,3941.515783833646,56.5,38.655192945500005,46.6,32.5590107588,0.0,0.0,186.346,199.56127985127398,0.0,0.0,0.0,0.0,25.9,15.3656091617
2B,31.3,139.55819460858947,47.4,211.34371963089907,51.3,228.73275985369455,88.1,392.8139599046879,115.6,515.4289871167074,27.0,120.38566308089187,44.2,3941.515783833646,56.5,38.655192945500005,46.6,32.5590107588,0.0,0.0,163.43,175.02012367366999,17.6666666666667,17.169913478333356,0.0,0.0,25.9,15.3656091617
30,35.645,26.538933059636364,47.4,35.290936373313606,51.3,38.19462101162422,88.0999999999999,65.59349144491404,115.6,86.06819081761715,38.722,28.829865785811172,44.2,440.3605255441924,56.5,41.1062074675,46.6,32.9820022674,0.0,0.0,254.085,193.78951965672002,19.102,18.56488795829,21.8,18.4099287828,25.9,13.855871795499999
31,52.169,52.56530390701836,47.4,47.760076006683484,51.3,51.6897025135625,88.0999999999999,88.76925519385675,115.6,116.47816005005507,45.347,45.691480309600756,44.2,316.9670074304013,56.5,43.0324508935,46.6,32.894698845,500.0,359.25067249999995,228.172,169.40846606776398,22.7,22.166276941699998,28.891,24.908221892098,25.9,14.7775018762
32,55.897,56.32162380897862,47.4,47.760076006683484,51.3,51.6897025135625,88.1,88.76925519385685,115.6,116.47816005005507,47.709,48.07142333761313,44.2,316.9670074304013,56.5,43.0324508935,46.6,32.894698845,0.0,0.0,242.432,179.99593835238397,21.9,21.385086564899996,28.7,24.7435522586,25.9,14.7775018762
33,51.1489999999999,45.639769072605006,47.4,42.294571820396904,51.3,45.77450494485994,88.1,78.61079699107526,115.6,103.14878697126333,46.2,41.223823166715974,44.2,487.4180170549293,56.5,43.33375844400006,46.6,32.9823959442,0.0,0.0,301.566,229.48966781204996,23.9,23.088153662599996,26.521,23.3795132912,25.9,15.1657199547
34,36.093,26.872484525780763,47.4,35.290936373313606,51.3,38.19462101162422,88.0999999999999,65.59349144491404,115.6,86.06819081761715,37.04,27.577558718724386,44.2,440.3605255441924,56.5,41.1062074675,46.6,32.9820022674,0.0,0.0,243.157,185.45478179022402,16.8,16.327615836,22.386,18.904801180356,25.9,13.855871795499999
35,73.4009999999999,79.71889782706606,47.4,51.479894783489826,51.3,55.71558232896683,88.1,95.68309557859607,115.6,125.55012314285703,64.296,69.83019651897177,44.2,744.39428792296,56.5,43.242182566,46.6,38.895991491400046,0.0,0.0,193.897,153.98585946973898,23.9,23.129199642100023,32.091,29.166725981052,25.9,18.059165805099973
36,62.661,53.884022656896846,47.4,40.76064336568057,51.3,44.11436718690746,88.1,75.75976119233034,115.6,152.189920199772,61.355,52.2957347934091,44.2,290.7194462653875,56.5,45.511580776,46.6,45.7605458758,0.0,0.0,328.032,306.491341125312,23.5,23.658942391,30.193,29.627677499796,25.9,19.7579260592
37,64.3610000000001,55.345902271277886,47.4,40.76064336568057,51.3,44.11436718690746,88.1,75.75976119233034,115.6,152.189920199772,59.476,50.69417525177736,44.2,290.7194462653875,56.5,45.511580776,46.6,45.7605458758,0.0,0.0,380.831,355.823224356446,25.7,25.8738221042,30.595,30.022150601339998,25.9,19.7579260592
38,56.6,51.87451014717488,47.4,43.442610971309,51.3,47.01700301325214,88.1,80.74459971671567,115.6,105.94864616631477,53.0340000000001,48.60623270574696,44.2,547.6357411291474,56.5,42.2495998885,46.6,33.9588182796,0.0,0.0,194.675,145.7124573918,25.4,23.1670710648,28.9,24.2244142225,25.9,15.343371810199999
39,68.765,87.62699488725715,47.4,60.40165138742076,51.3,65.37140751423387,88.1,112.26551660826517,115.6,147.3086687845114,57.883,73.76010099700584,44.2,577.2480888224572,56.5,44.532993996,46.6,37.489602559399955,693.916666666668,552.753891695501,283.08,231.21756201936,28.8,28.826650656,32.6,29.4031028094,25.9,17.67681801340001
40,51.7,46.13142116275359,47.4,42.294571820396904,51.3,45.77450494485994,88.1,78.61079699107526,115.6,103.14878697126333,47.18,42.0982679005554,44.2,487.4180170549293,56.5,43.33375844400006,46.6,32.9823959442,0.0,0.0,293.527,223.37204367822497,23.8,22.9915505092,28.0,24.6833216,25.9,15.1657199547
41,67.144,57.73908519293791,47.4,40.76064336568057,51.3,44.11436718690746,88.1,75.75976119233034,115.6,152.189920199772,65.7550000000001,56.04606048961977,44.2,290.7194462653875,56.5,45.511580776,46.6,45.7605458758,852.290000000001,681.0484557114008,422.855,395.08766233643,27.9,28.088701817399997,33.798,33.165178820856,25.9,19.7579260592
42,54.453,49.90676150254618,47.4,43.442610971309,51.3,47.01700301325214,88.1,80.74459971671567,115.6,105.94864616631477,52.193,47.83544713977913,44.2,547.6357411291474,56.5,42.2495998885,46.6,33.9588182796,492.0,363.49846239600004,256.456,191.95497096633602,25.0,22.8022353,24.3,20.3686251075,25.9,15.343371810199999
43,49.8,86.35679963679235,47.4,82.19502616032042,51.3,88.9579080595873,88.1,152.77176803215673,115.6,200.4587557833975,45.416,78.75462675310364,44.2,2419.9667355363626,56.5,42.3816416315,46.6,39.1046482572,0.0,0.0,247.459,212.053993376053,20.3,18.50164082340002,22.6,21.1811393204,25.9,17.739570191
44,63.393,74.46483902709456,47.4,55.67859810837603,51.3,60.25974858564747,88.1,103.48701462759342,115.6,135.78999876219976,58.082,68.22625180022567,44.2,564.5414518568945,56.5,43.23816490750006,46.6,38.59709042380005,686.6575,500.9602785275225,286.739,237.1425712291943,23.7,23.1427649127,29.823,27.20563137622503,25.9,16.94925140089997
45,68.646,59.03069882870272,47.4,40.76064336568057,51.3,44.11436718690746,88.1,75.75976119233034,115.6,152.189920199772,64.651,55.10506967857049,44.2,290.7194462653875,56.5,45.511580776,46.6,45.7605458758,873.62,698.0928461892,429.003,400.83194571499797,28.3,28.4914072198,33.599,32.96990482282799,25.9,19.7579260592
46,46.3,46.65171981243555,47.4,47.760076006683484,51.3,51.6897025135625,88.1,88.76925519385685,115.6,116.47816005005507,42.3,42.62133365153399,44.2,316.9670074304013,56.5,43.0324508935,46.6,32.894698845,0.0,0.0,201.042,149.265540185454,21.1,20.603896188100002,26.753,23.064956570534,25.9,14.7775018762
47,60.001,53.53832497459145,47.4,42.294571820396904,51.3,45.77450494485994,88.0999999999999,78.61079699107518,115.6,103.14878697126333,52.565,46.90325248394859,44.2,487.4180170549293,56.5,43.33375844400006,46.6,32.9823959442,0.0,0.0,282.642,215.08863296835,25.5,24.633804117,30.8,27.15165376,25.9,15.1657199547
48,37.881,28.203712252267778,47.4,35.290936373313606,51.3,38.19462101162422,88.1,65.59349144491411,115.6,86.06819081761715,32.219,23.988157785058885,44.2,440.3605255441924,56.5,41.1062074675,46.6,32.9820022674,0.0,0.0,100.927,76.97658205086401,10.0,9.71881895,0.0,0.0,25.9,13.855871795499999
49,66.095,77.63875405006569,47.4,55.67859810837603,51.3,60.25974858564747,88.0999999999999,103.4870146275933,115.6,135.78999876219976,56.987,66.94000570468407,44.2,564.5414518568945,56.5,43.23816490750006,46.6,38.59709042380005,686.53,500.86725917579,244.187,201.95066956620227,25.2,24.6074968692,30.03,27.394464347250032,25.9,16.94925140089997
